time,ax,ay,az,wx,wy,wz
2022-02-17 5:50:25.8170 p.m.,-0.16,-0.86,-0.47,0.04,-0.19,0.07
2022-02-17 5:50:25.8260 p.m.,-0.02,-0.87,-0.81,0.02,-0.15,0.1
2022-02-17 5:50:25.8370 p.m.,0.11,-0.87,-1.12,-0.02,-0.1,0.11
2022-02-17 5:50:25.8470 p.m.,0.15,-0.87,-1.22,-0.06,-0.07,0.12
2022-02-17 5:50:25.8570 p.m.,0.16,-0.84,-1.26,-0.1,-0.07,0.14
2022-02-17 5:50:25.8670 p.m.,0.19,-0.78,-1.22,-0.11,-0.09,0.14
2022-02-17 5:50:25.8770 p.m.,0.18,-0.75,-1.21,-0.11,-0.14,0.13
2022-02-17 5:50:25.8870 p.m.,0.14,-0.78,-1.25,-0.09,-0.19,0.13
2022-02-17 5:50:25.8970 p.m.,0.08,-0.74,-1.31,-0.08,-0.21,0.14
2022-02-17 5:50:25.9070 p.m.,0.08,-0.58,-1.42,-0.1,-0.17,0.18
2022-02-17 5:50:25.9170 p.m.,0.05,-0.38,-1.57,-0.11,-0.12,0.23
2022-02-17 5:50:25.9270 p.m.,0.05,-0.16,-1.66,-0.16,-0.06,0.28
2022-02-17 5:50:25.9370 p.m.,0.01,-0.03,-1.64,-0.23,-0.01,0.32
2022-02-17 5:50:25.9470 p.m.,-0.03,0.01,-1.48,-0.32,0.01,0.35
2022-02-17 5:50:25.9570 p.m.,-0.06,0.04,-1.27,-0.4,-0.06,0.38
2022-02-17 5:50:25.9680 p.m.,-0.13,0.07,-0.98,-0.43,-0.16,0.39
2022-02-17 5:50:25.9770 p.m.,-0.23,0.01,-0.75,-0.41,-0.27,0.39
2022-02-17 5:50:25.9880 p.m.,-0.29,-0.05,-0.64,-0.35,-0.35,0.39
2022-02-17 5:50:25.9970 p.m.,-0.28,-0.01,-0.68,-0.29,-0.38,0.38
2022-02-17 5:50:26.0070 p.m.,-0.18,0.03,-0.85,-0.25,-0.32,0.37
2022-02-17 5:50:26.0170 p.m.,-0.14,0.08,-1.0,-0.22,-0.2,0.38
2022-02-17 5:50:26.0270 p.m.,-0.06,0.22,-1.12,-0.21,-0.02,0.41
2022-02-17 5:50:26.0380 p.m.,-0.01,0.42,-1.06,-0.21,0.15,0.44
2022-02-17 5:50:26.0480 p.m.,-0.04,0.51,-0.77,-0.21,0.28,0.45
2022-02-17 5:50:26.0580 p.m.,-0.14,0.45,-0.39,-0.22,0.37,0.44
2022-02-17 5:50:26.0680 p.m.,-0.27,0.26,0.02,-0.23,0.38,0.44
2022-02-17 5:50:26.0780 p.m.,-0.47,0.15,0.58,-0.26,0.33,0.46
2022-02-17 5:50:26.0880 p.m.,-0.66,0.17,1.13,-0.29,0.29,0.48
2022-02-17 5:50:26.0980 p.m.,-0.72,0.18,1.54,-0.28,0.22,0.51
2022-02-17 5:50:26.1080 p.m.,-0.8,0.15,1.83,-0.25,0.16,0.52
2022-02-17 5:50:26.1180 p.m.,-0.89,0.09,1.99,-0.19,0.13,0.52
